fips,state,county,pop_in_later_year,pop_ref_later_year,pop_f,pop_m,pop_in_2000,median_age,median_age_f,median_age_m,median_house_income_2017,median_house_income_ref_val,median_house_income_ref_yr,median_house_value_2017,median_house_value_2000,avg_household_size,mar_coup_w_children,cost_of_living_usd,cost_of_living_yr,poverty_pct,adult_obes_rate,presch_obes_rate,commute_minutes,pop_per_sq_mi,pop_percent_urban,unemploy_rate,unemploy_date,rent_1br_usd,rent_2br_usd,rent_3br_usd,avg_farm_size,avg_farm_sales_usd,pct_farms_fam_op,avg_farm_mach_val_usd,birth_per_1000_int1,births_from_yr_int1,births_from_yr_int2,birth_per_1000_int2,births_to_yr_int1,births_to_yr_int2,pop_foreign_born,land_area_km2,land_area_mi2,water_area_km2,water_area_mi2,total_area_km2,total_area_mi2,latitude,longitude
1001,AL,Autauga,55308,2017,28306,27002,43671,38,39.2,37.1,57282,42013,1999,152959,82500,2,9073,86.5,2019,12.9,30,12.4,26.5,93,58,3.4,2015,532,599,794,318,49871,92.23,67378,15.1,1990,2000,13.6,1999,2006,1170,1539.582,594.436,25.776,9.952,1565.358,604.388,32.536382,-86.64449
1003,AL,Baldwin,212628,2017,107930,104698,140415,42.6,44.3,40.5,55342,40250,1999,199800,105300,2,33189,86.9,2019,9.4,24.5,10.8,25.9,133,58,3.5,2015,521,619,821,171,80697,90.87,65796,13.2,1990,2000,12.6,1999,2006,10881,4117.522,1589.784,1133.19,437.527,5250.712,2027.311,30.659218,-87.746067
1005,AL,Barbour,26330,2017,12301,14029,29038,39.9,43.3,38.2,34553,25101,1999,95519,57200,2,2022,82.2,2019,25.6,36.4,20.8,23.1,30,32,4.6,2015,364,437,541,359,114056,91.15,64643,13.8,1990,2000,13,1999,2006,701,2291.819,884.876,50.865,19.639,2342.684,904.515,31.87067,-85.405456
1007,AL,Bibb,22691,2017,10393,12298,20826,40,43.6,37,44946,31420,1999,112847,57400,2,2680,82.7,2019,14.3,31.7,15.4,31.6,36,32,3.9,2015,521,581,737,240,8907,98.4,34839,14.7,1990,2000,12.8,1999,2006,232,1612.481,622.582,9.289,3.587,1621.77,626.169,33.015893,-87.127148
1009,AL,Blount,57952,2017,29352,28600,51024,41.1,42.6,40.1,49096,35241,1999,130711,76900,2,8418,82.6,2019,14.7,31.5,19.9,34.7,90,10,3.4,2015,521,581,737,115,91532,95.59,37480,13.4,1990,2000,12.6,1999,2006,2638,1669.962,644.776,15.157,5.852,1685.119,650.628,33.977448,-86.567246
1011,AL,Bullock,10529,2017,4892,5637,11714,41,42.7,38.3,30708,20605,1999,71452,54000,2,381,81.9,2019,26.7,37.3,15.6,26,17,49,4,2015,365,447,536,536,105292,89.01,57499,15.3,1990,2000,14.7,1999,2006,193,1613.057,622.805,6.057,2.338,1619.113,625.143,32.101759,-85.717261
1013,AL,Butler,20225,2017,10773,9452,21399,40.9,42.1,39.8,37616,24791,1999,94984,48600,2,1957,82,2019,22.9,35.5,7.7,26.3,26,29,4.4,2015,365,447,536,196,135529,96.71,38514,13.5,1990,2000,13.4,1999,2006,212,2011.977,776.829,2.727,1.053,2014.704,777.882,31.751667,-86.681969
1015,AL,Calhoun,114728,2017,59389,55339,112249,39.4,40.7,37.8,46763,31768,1999,117700,65700,2,13046,81.9,2019,17.7,33.2,15.1,23.4,189,66,4.4,2015,382,474,626,111,63975,94.95,33520,14.2,1990,2000,13.4,1999,2006,3373,1569.19,605.868,16.624,6.419,1585.814,612.287,33.771706,-85.822513
1017,AL,Chambers,34062,2017,17680,16382,36583,43.2,44.3,41.3,38668,29667,1999,92417,56700,2,3093,81.3,2019,17.7,35.7,7,22,57,51,3.8,2015,392,435,590,303,18293,92.81,27990,14.3,1990,2000,12.1,1999,2006,443,1545.009,596.531,17.048,6.582,1562.057,603.113,32.917943,-85.391812
1019,AL,Cherokee,25982,2017,13071,12911,23988,46.3,46.7,45.8,41463,30874,1999,124400,63500,2,3178,82.6,2019,15.2,30.7,14.3,30,47,14,3.6,2015,381,458,545,222,62124,92.31,51735,11.6,1990,2000,11.1,1999,2006,174,1434.076,553.7,119.859,46.278,1553.935,599.978,34.069515,-85.654242
